Date,nvda,tsla,aapl,msft,gold,spy
2020-01-02,5.9736328125,28.68400001525879,72.87610626220703,153.93820190429688,1524.5,303.1356201171875
2020-01-03,5.878017902374268,29.53400039672852,72.1676025390625,152.02142333984375,1549.199951171875,300.8401794433594
2020-01-06,5.902670860290527,30.1026668548584,72.74266052246094,152.4143524169922,1566.199951171875,301.98785400390625
2020-01-07,5.974131107330322,31.270666122436523,72.40054321289062,151.02468872070312,1571.800048828125,301.1387634277344
2020-01-08,5.9853363037109375,32.80933380126953,73.56520080566406,153.43023681640625,1557.4000244140625,302.74371337890625
2020-01-09,6.051071166992188,32.089332580566406,75.1277847290039,155.34706115722656,1551.699951171875,304.7965087890625
2020-01-10,6.08344030380249,31.87666702270508,75.2976303100586,154.62826538085938,1557.5,303.9194030761719
2020-01-13,6.274169921875,34.990665435791016,76.90633392333984,156.487548828125,1548.4000244140625,306.0094909667969
2020-01-14,6.1571431159973145,35.861331939697266,75.86785125732422,155.38539123535156,1542.4000244140625,305.5429992675781
2020-01-15,6.114565372467041,34.56666564941406,75.54268646240234,156.39169311523438,1552.0999755859375,306.2334899902344
2020-01-16,6.198227405548096,34.232666015625,76.48897552490234,159.25733947753906,1549.0,308.7808837890625
2020-01-17,6.206941604614258,34.03333282470703,77.33580017089844,160.14866638183594,1558.800048828125,309.7419738769531
2020-01-21,6.173575878143311,36.47999954223633,76.81167602539062,159.57362365722656,1556.4000244140625,309.13543701171875
2020-01-22,6.227607727050781,37.97066879272461,77.08588409423828,158.80690002441406,1555.300048828125,309.1727600097656
2020-01-23,6.296081066131592,38.14666748046875,77.45709991455078,159.7844696044922,1564.5999755859375,309.5273132324219
2020-01-24,6.236820697784424,37.654666900634766,77.23387908935547,158.17428588867188,1571.0999755859375,306.77471923828125
2020-01-27,5.980854034423828,37.20133209228516,74.96279907226562,155.52915954589844,1576.800048828125,301.8572692871094
2020-01-28,6.174322605133057,37.79333114624024,77.08342742919922,158.5768585205078,1569.199951171875,305.0204772949219
2020-01-29,6.1138176918029785,38.732666015625,78.69696807861328,161.04953002929688,1569.800048828125,304.7685241699219
2020-01-30,6.120540618896484,42.72066879272461,78.58293151855469,165.5923309326172,1583.5,305.757568359375
2020-01-31,5.886982440948486,43.37133407592773,75.09867095947266,163.1484375,1582.9000244140625,300.2056884765625
2020-02-03,5.984090805053711,52.0,74.89242553710938,167.12582397460938,1577.199951171875,302.435791015625
2020-02-04,6.153407573699951,59.137332916259766,77.3648910522461,172.6269989013672,1550.4000244140625,307.0452575683594
2020-02-05,6.24379301071167,48.97999954223633,77.99575805664062,172.41612243652344,1557.800048828125,310.5909729003906
2020-02-06,6.330692291259766,49.93066787719727,78.90806579589844,175.99098205566406,1565.0999755859375,311.63604736328125
2020-02-07,6.264459133148193,49.87133407592773,77.83551025390625,176.2401885986328,1568.5999755859375,309.9752502441406
2020-02-10,6.547815799713135,51.41866683959961,78.2052001953125,180.8500823974609,1574.699951171875,312.2893371582031
2020-02-11,6.670320510864258,51.62533187866211,77.73335266113281,176.76731872558594,1565.5999755859375,312.8305053710937
2020-02-12,6.78610372543335,51.15266799926758,79.57935333251953,177.0260772705078,1567.4000244140625,314.845947265625
2020-02-13,6.742279529571533,53.59999847412109,79.01263427734375,176.06765747070312,1575.0999755859375,314.51007080078125
2020-02-14,7.215619087219238,53.33533477783203,79.03211975097656,177.6394500732422,1582.699951171875,315.013916015625
2020-02-18,7.384437084197998,57.22666549682617,77.58499908447266,179.44122314453125,1600.0,314.2021789550781
2020-02-19,7.835865020751953,61.16133117675781,78.7086410522461,179.97940063476562,1607.5,315.7043762207031
2020-02-20,7.686468601226807,59.96066665649414,77.90116119384766,177.2309112548828,1616.5999755859375,314.4074401855469
2020-02-21,7.322189807891846,60.06666564941406,76.13787841796875,171.62814331054688,1644.5999755859375,311.16961669921875
2020-02-24,6.804527759552002,55.58599853515625,72.52128601074219,164.22833251953125,1672.4000244140625,300.8495178222656
2020-02-25,6.52490758895874,53.32733154296875,70.06483459472656,161.51824951171875,1646.9000244140625,291.7331848144531
2020-02-26,6.664344310760498,51.91999816894531,71.17630767822266,163.53640747070312,1640.0,290.6600341796875
2020-02-27,6.293369293212891,45.26666641235352,66.5236587524414,152.01377868652344,1640.0,277.60601806640625
2020-02-28,6.728622913360596,44.53266525268555,66.48473358154297,155.69444274902344,1564.0999755859375,276.439697265625
2020-03-02,6.887079238891602,49.574668884277344,72.67451477050781,166.0542755126953,1592.300048828125,288.4112854003906
2020-03-03,6.624481678009033,49.70066833496094,70.36641693115234,158.0970458984375,1642.0999755859375,280.1534118652344
2020-03-04,7.088387489318848,49.96666717529297,73.63034057617188,163.901611328125,1641.0999755859375,291.9290771484375
2020-03-05,6.808847904205322,48.30266571044922,71.24197387695312,159.78842163085938,1666.4000244140625,282.2248840332031
2020-03-06,6.628219127655029,46.89866638183594,70.29588317871094,155.27163696289062,1670.800048828125,277.55938720703125
2020-03-09,6.114983081817627,40.53333282470703,64.73605346679688,144.7484588623047,1674.5,255.8834991455078
2020-03-10,6.504642963409424,43.02199935913086,69.39842987060547,154.64694213867188,1659.0999755859375,269.1241149902344
2020-03-11,6.140644550323486,42.28200149536133,66.98819732666016,147.6411590576172,1641.4000244140625,256.0047607421875
2020-03-12,5.389227390289307,37.369998931884766,60.37279510498047,133.63912963867188,1589.300048828125,231.5110015869141
2020-03-13,6.000376224517822,36.44133377075195,67.60594940185547,152.63844299316406,1515.699951171875,251.3019561767578
